Goal,Set,Subset,Alg,Learned?,Link
ZBLL,U,Slash,R' U2 R U F' R' DU' R U R' D'U R F,TRUE,google.com
ZBLL,U,Slash,"(U) R' F R F' U R' D' r U' r' DU' F' U F R
R U' R' U' r U' M2 f R2 f' M2 U' r'",TRUE,google.com
ZBLL,U,bACKSLASH,R2 D' R U2 R' D R U2 R,TRUE,google.com
ZBLL,U,bACKSLASH,R2 D' r U2 r' D R U2 R,TRUE,google.com
ZBLL,U,bACKSLASH,(U) R' U' R2 D R' U' R D' R2 U2 R,TRUE,google.com
ZBLL,U,bACKSLASH,"(U) R U2 F U F' R' U F U2 F' R U2 R'
(U') F' R U R U' R' F R' F R f' R U R' S R'",TRUE,google.com
ZBLL,U,bACKSLASH,R' U2 F U F' R F U2 R' U' R U F',TRUE,google.com
ZBLL,U,bACKSLASH,(U2) R' S' U R U R' U S R f' R' U2 R f,TRUE,google.com
ZBLL,U,bACKSLASH,"(U2) R' F R U R' F' M U' F2 U F r 
(U') F' R U F R' U' f' R' F R f R F' R'",TRUE,google.com
ZBLL,U,bACKSLASH,"(U') R2 F' R U2 R U2 R' F U' R U R' U' R
(U) S' R' U' R S2 U' R' U B' D' R D R F",TRUE,google.com
ZBLL,U,bACKSLASH,S R2 S' D' R U2 R' D R' U2 R2 U2 R' (U') F U M U M' F' M U' r F R' U' R F' R',TRUE,google.com
ZBLL,U,bACKSLASH,(U) R U B' R' F' R B R' F U R U2 R' S R' U R U f R2 f' U' R' U R S',TRUE,google.com
ZBLL,U,bACKSLASH,"(U') F U2 F' U' R F E R' U' R E' F' R' 
(U2) R U2 R' U' B R D'U R' U' R DU' R' B'",TRUE,google.com
ZBLL,U,bACKSLASH,"R2 F2 R U' S' R U2 R' f R' u' R u R2
(U2) R' U R U r' U M2 F' U2 F M2 U r
F U R U' R D R' U' R D' R2 U R U R' F'",TRUE,google.com
ZBLL,L,cp solved,"(U') F' R F R2 D' R U2 R' D R2 F' R' F 
r' F R F' r U r' F' r U R' U' r' F r",TRUE,google.com
ZBLL,L,cp solved,(U) r' F2 r U r' F M' U' R U' R' U2 R,TRUE,google.com
ZBLL,L,cp solved,R U R' U R U2 R' U R' U' R U' R' U2 R,TRUE,google.com
ZBLL,L,cp solved,"(U) f R' U R' U' R D' R U R' E' R' x
(U') F U' R U' R' U r' F R F' M' F'",TRUE,google.com
ZBLL,L,cp solved,(U) F' M F' r U R' U r' F' r U' F,TRUE,google.com
ZBLL,L,cp solved,R U2 R' U' R U' R' U R' U2 R U R' U R,TRUE,google.com
ZBLL,L,cp solved,"(U2) R U R' U R U' R' U R U' R' U R U2 R'
(U) R' U2 R U R' U' R U R' U' R U R' U R",TRUE,google.com
ZBLL,L,cp solved,R U R' U R U2 M' B2 r' U' r B' r',TRUE,google.com
ZBLL,L,cp solved,"(U) L' U' L U' L' U2 L U R U R' U R U2 R'
R' U' R U' R' U2 R U' R U R' U R U2 R'",TRUE,google.com
ZBLL,L,cp solved,(U2) F' U r' F r U' R U' r' F M' F,TRUE,google.com
ZBLL,L,cp solved,F M F R' F' r U' R U R' U F',TRUE,google.com
ZBLL,L,cp solved,(U') R' U2 R U R' U R U' R U2 R' U' R U' R',TRUE,google.com
ZBLL,L,d opp r,F R' F' r U R U' r',TRUE,google.com
ZBLL,L,d opp r,(U) R2 D r' U2 M' U' R D' R' U' R' F R' F' R U' S U R' U' S' R' U R,TRUE,google.com
ZBLL,L,d opp r,(U') F' L' U L U L' U2 L U F,TRUE,google.com
ZBLL,L,d opp r,F R U R' U' R' F' R U2 R U2 R',TRUE,google.com
ZBLL,L,d opp r,(U') S' R U R' F' U f U' R' U' R' U R,TRUE,google.com
ZBLL,L,d opp r,(U) S R' F U R2 U' F' U R2 U' R S',TRUE,google.com
ZBLL,L,d opp r,"F R' F' R2 S' R' U R S U' R' 
(U') R F U' R' U R U R' U R U' F' R'",TRUE,google.com
ZBLL,L,d opp r,"(U) L U L' F' U L U L' U' F L U2 L'
(U2) R' U2 R U2D' R U' R U R U' R2 D",TRUE,google.com
ZBLL,L,d opp r,"(U') R U R' U R U' R' U' r' F R F' M'
(U) L U L' U L U' L' F' L U' L' U F",TRUE,google.com
ZBLL,L,d opp r,"R2 S2 R2 U R2 S2 D R' U R D' R' U' R' 
(U2) F U' f' U2 f R' U' F R F' R2 U R F'",TRUE,google.com
ZBLL,L,d opp r,"S U2 R' U2 R U2 F R f'
(U2) S' R' U2 R S U2 f R f'",TRUE,google.com
ZBLL,L,d opp r,(U) M U' M' F R' F' R U R U' r' U M',TRUE,google.com
ZBLL,L,d opp l,F' r U R' U' r' F R,TRUE,google.com
ZBLL,L,d opp l,(U) R2 D' r U2 M U R' D R U R,TRUE,google.com
ZBLL,L,d opp l,(U) F R U' R' U' R U2 R' U' F',TRUE,google.com
ZBLL,L,d opp l,F' R U2 R' U2 R' F R U R U' R',TRUE,google.com
ZBLL,L,d opp l,(U') S' R' U' R f R' F' U R U R U' R',TRUE,google.com
ZBLL,L,d opp l,(U) S R B' U' R2 U B U' R2 U R' S',TRUE,google.com
ZBLL,L,d opp l,(U2) f' U f R2 S' R U' R' S U R (U') R' B' U R U' R' U' R U' R' U B R,TRUE,google.com
ZBLL,L,d opp l,(U') R' U' R F U' R' U' R U F' R' U2 R,TRUE,google.com
ZBLL,L,d opp l,"(U) r' F' r U' r' F r U R U' r' F M'
(U') R' U' R U' R' U R F R' U R U' F'",TRUE,google.com
ZBLL,L,d opp l,(U) R U r' F R' F' r U' R U R' U2 R U2 R',TRUE,google.com
ZBLL,L,d opp l,"S' R U2 R' S U2 F' U' F
(U2) S U2 R U2 R' U2 f' U' F",TRUE,google.com
ZBLL,L,d opp l,"(U') M U M' F' r U r' U' r' F R U' M'
(U) M' U M f' U f R' U' R' U r U' M",TRUE,google.com
ZBLL,L,l diag,"F R U R2 F R F' R U' R' F'
(U') F R U R' F R' F' R2 U' R' F'",TRUE,google.com
ZBLL,L,l diag,r U2 R2 F R F' R U2 r',TRUE,google.com
ZBLL,L,l diag,"(U) M' U R' F2 r F' r' F2 R2 U' r'
r' U' M' U' R U r' R' F R F' U r",TRUE,google.com
ZBLL,L,l diag,r U2 r2' F R F' rM' U2 r',TRUE,google.com
ZBLL,L,l diag,"(U2) r' F2 r U R U2 r' F' M' U' R U' R'
r' F' r U' M F' R' F2 r U R U2 R'",TRUE,google.com
ZBLL,L,l diag,L' U R2 D' R' U2 R D R' U L U R' R U2 R2 F R F2 r' U' F2 U r F,TRUE,google.com
ZBLL,L,l diag,"(U') R U2 R2 U' R' U R2 D' R U' R' DU' R'
F U' R' U R D R' U R D'U F' R' U R R'M' U' R U r' R' F R U F U' R' F' R2",TRUE,google.com
ZBLL,L,l diag,(U) l' U2 L2 F' L' F L' U2 l,TRUE,google.com
ZBLL,L,l diag,"M' U' r U2 R' F R U2 r2 F R
R' F' r2 U2 R' F' R U2 r' U M",TRUE,google.com
ZBLL,L,l diag,(U') r U2 r'M F R' F' r2 U2 r',TRUE,google.com
ZBLL,L,l diag,(U) R U R' U M F r U2 R' U' r' F2 r (U') R U2 R' U' r' F2 R F M' U r' F r,TRUE,google.com
ZBLL,L,l diag,(U') L U' R2 D R U2 R' D' R U' L' U' R,TRUE,google.com
ZBLL,L,d same r,R U2 R D R' U2 R D' R2,TRUE,google.com
ZBLL,L,d same r,R U2 R D r' U2 r D' R2,TRUE,google.com
ZBLL,L,d same r,(U) R U2 R2 D' R U' R' D R2 U' R',TRUE,google.com
ZBLL,L,d same r,F' U2 F R' U2 R U F' R' U R U2 F,TRUE,google.com
ZBLL,L,d same r,R' U F U' F' U2 R F R' U R U2 F',TRUE,google.com
ZBLL,L,d same r,"R u R2 D' F' R S' U R' U R U S R'
(U) R U R' U R U R' U2 R' D' r U2 r' D R",TRUE,google.com
ZBLL,L,d same r,(U') f R U R2 U' S' R' F' U F R F',TRUE,google.com
ZBLL,L,d same r,(U') R2 D' R2 U R' D R2 B2 U2 B2 U' R' (U) R' F' R U2 R U2 R' F U' R U R' U' R U' R' (U) f R D R D' F' U R' U' S2 R U' R' S,TRUE,google.com
ZBLL,L,d same r,R' U2 R2 U2 R' D R' U2 R D' S R2 S' (U) r' D' R U' R' D R U' M' F' M U2 M' F,TRUE,google.com
ZBLL,L,d same r,S R U R' U' F' U2 F U R U R' S',TRUE,google.com
ZBLL,L,d same r,"(U) S R' U' F R' F' R2 U F R F' U2 S'
F' R' U'D R U' R' UD' R F U' R' U2 R",TRUE,google.com
ZBLL,L,d same r,(U) R2 S2 R' U2 R' U' R2 D R' U' R D' S2 R2 r U M2 f R2 f' M2 U r' U R U R' (U) R' F' U' F UD' r U r' D R U' F R' F' R,TRUE,google.com
ZBLL,L,d same l,(U2) R' U2 R' D' R U2 R' D R2,TRUE,google.com
ZBLL,L,d same l,(U2) R' U2 R' D' r U2 r' D R2,TRUE,google.com
ZBLL,L,d same l,(U) R' U2 R2 D R' U R D' R2 U R,TRUE,google.com
ZBLL,L,d same l,(U') R U2 R' F U2 F' U' R F U' F' U2 R',TRUE,google.com
ZBLL,L,d same l,(U') F U' R' U R U2 F' R' F U' F' U2 R,TRUE,google.com
ZBLL,L,d same l,(U) f' R' U2 R f R' S' U' R U' R' U' S R,TRUE,google.com
ZBLL,L,d same l,r' F' U' F2 U M' F R U' R' F' R (U) R F R' f' R' F' R f U R F' U' R' F,TRUE,google.com
ZBLL,L,d same l,(U2) R' U R U' R' U F' R U2 R' U2 R' F R2,TRUE,google.com
ZBLL,L,d same l,"(U2) R U2 R2 U2 R D' R U2 R' D S R2 S' 
(U') R F R' U R F' r' U M' F M U' M' U' F'",TRUE,google.com
ZBLL,L,d same l,(U2) S R' U' R U f R2 f' U' R' U' R S',TRUE,google.com
ZBLL,L,d same l,"(U') R F E R' U R E' F' R' U F U2 F'
B R UD' R' U R U'D R' B' U R U2 R'
M F U R' F R F2 U' R' F' R U2 M'",TRUE,google.com
ZBLL,L,d same l,"(U) R2 S2 R U2 R U R2 D' R U R' D S2 R2 (U2) R' U2 R' D' R U2 R' D r2 U M U2 M' U M2
(U2) r' U' M2 F' U2 F M2 U' r U' R' U' R (U) F R U' R' U' R2 D R' U R D' R' U R' U' F'",TRUE,google.com
ZBLL,H,in line,R U R' U R U L' U R' U' L,FALSE,google.com
ZBLL,H,in line,"(U') R2 U' R2 U F R2 U R2 U' F' R2 U R2
(U2) r' F R U2 M' U r' F' R U2 F' r U R'",FALSE,google.com
ZBLL,H,in line,(U2) M' F' r U R' U2 F2 r' F' R F' M,FALSE,google.com
ZBLL,H,in line,(U') r' U r F' r2 F' r' U' r' F2 R U2 R',FALSE,google.com
ZBLL,H,in line,(U') R U R2 F R F' r U' r' U r U r',FALSE,google.com
